model_id,version_id,model_version_id,original_image_id,seed,generated_image_path,split_type,label
11177,28609,11177_28609,2,0,2/11177_28609/11177_28609_2_0.jpg,train,0
13910,16368,13910_16368,2,0,2/13910_16368/13910_16368_2_0.jpg,train,1
21722,30521,21722_30521,2,0,2/21722_30521/21722_30521_2_0.jpg,train,2
29215,177313,29215_177313,2,0,2/29215_177313/29215_177313_2_0.jpg,train,3
23723,28340,23723_28340,2,0,2/23723_28340/23723_28340_2_0.jpg,train,4
28687,38912,28687_38912,2,0,2/28687_38912/28687_38912_2_0.jpg,train,5
4844,5571,4844_5571,2,0,2/4844_5571/4844_5571_2_0.jpg,train,6
5126,10905,5126_10905,2,0,2/5126_10905/5126_10905_2_0.jpg,train,7
4857,5737,4857_5737,2,0,2/4857_5737/4857_5737_2_0.jpg,train,8
16048,18989,16048_18989,2,0,2/16048_18989/16048_18989_2_0.jpg,train,9
5014,5784,5014_5784,2,0,2/5014_5784/5014_5784_2_0.jpg,train,10
5280,6123,5280_6123,2,0,2/5280_6123/5280_6123_2_0.jpg,train,11
94355,100651,94355_100651,2,0,2/94355_100651/94355_100651_2_0.jpg,train,12
6364,7466,6364_7466,2,0,2/6364_7466/6364_7466_2_0.jpg,train,13
25476,33458,25476_33458,2,0,2/25476_33458/25476_33458_2_0.jpg,train,14
5840,6802,5840_6802,2,0,2/5840_6802/5840_6802_2_0.jpg,train,15
69532,90693,69532_90693,2,0,2/69532_90693/69532_90693_2_0.jpg,train,16
5452,6343,5452_6343,2,0,2/5452_6343/5452_6343_2_0.jpg,train,17
25020,29931,25020_29931,2,0,2/25020_29931/25020_29931_2_0.jpg,train,18
15946,27729,15946_27729,2,0,2/15946_27729/15946_27729_2_0.jpg,train,19
83644,88890,83644_88890,2,0,2/83644_88890/83644_88890_2_0.jpg,train,20
155971,175001,155971_175001,2,0,2/155971_175001/155971_175001_2_0.jpg,train,21
23828,28471,23828_28471,2,0,2/23828_28471/23828_28471_2_0.jpg,train,22
25662,30723,25662_30723,2,0,2/25662_30723/25662_30723_2_0.jpg,train,23
18595,24544,18595_24544,2,0,2/18595_24544/18595_24544_2_0.jpg,train,24
5066,5866,5066_5866,2,0,2/5066_5866/5066_5866_2_0.jpg,train,25
26681,31934,26681_31934,2,0,2/26681_31934/26681_31934_2_0.jpg,train,26
11229,36697,11229_36697,2,0,2/11229_36697/11229_36697_2_0.jpg,train,27
51010,55525,51010_55525,2,0,2/51010_55525/51010_55525_2_0.jpg,train,28
10211,12132,10211_12132,2,0,2/10211_12132/10211_12132_2_0.jpg,train,29
24029,28712,24029_28712,2,0,2/24029_28712/24029_28712_2_0.jpg,train,30
17126,23582,17126_23582,2,0,2/17126_23582/17126_23582_2_0.jpg,train,31
126958,138879,126958_138879,2,0,2/126958_138879/126958_138879_2_0.jpg,train,32
55842,60242,55842_60242,2,0,2/55842_60242/55842_60242_2_0.jpg,train,33
6859,8063,6859_8063,2,3,2/6859_8063/6859_8063_2_3.jpg,train,34
17243,20376,17243_20376,2,0,2/17243_20376/17243_20376_2_0.jpg,train,35
52304,56745,52304_56745,2,0,2/52304_56745/52304_56745_2_0.jpg,train,36
84441,89776,84441_89776,2,0,2/84441_89776/84441_89776_2_0.jpg,train,37
16613,52814,16613_52814,2,0,2/16613_52814/16613_52814_2_0.jpg,train,38
53998,58358,53998_58358,2,0,2/53998_58358/53998_58358_2_0.jpg,train,39
55150,60460,55150_60460,2,0,2/55150_60460/55150_60460_2_0.jpg,train,40
46489,51110,46489_51110,2,0,2/46489_51110/46489_51110_2_0.jpg,train,41
16377,19334,16377_19334,2,0,2/16377_19334/16377_19334_2_0.jpg,train,42
22689,27094,22689_27094,2,0,2/22689_27094/22689_27094_2_0.jpg,train,43
5449,6338,5449_6338,2,0,2/5449_6338/5449_6338_2_0.jpg,train,44
15006,17682,15006_17682,2,0,2/15006_17682/15006_17682_2_0.jpg,train,45
25167,30117,25167_30117,2,0,2/25167_30117/25167_30117_2_0.jpg,train,46
10338,12283,10338_12283,2,0,2/10338_12283/10338_12283_2_0.jpg,train,47
25454,30467,25454_30467,2,0,2/25454_30467/25454_30467_2_0.jpg,train,48
14005,16478,14005_16478,2,0,2/14005_16478/14005_16478_2_0.jpg,train,49
11430,13532,11430_13532,2,0,2/11430_13532/11430_13532_2_0.jpg,train,50
37626,43597,37626_43597,2,0,2/37626_43597/37626_43597_2_0.jpg,train,51
20313,24215,20313_24215,2,0,2/20313_24215/20313_24215_2_0.jpg,train,52
21328,25387,21328_25387,2,0,2/21328_25387/21328_25387_2_0.jpg,train,53
56031,60427,56031_60427,2,0,2/56031_60427/56031_60427_2_0.jpg,train,54
17566,20760,17566_20760,2,0,2/17566_20760/17566_20760_2_0.jpg,train,55
63994,68584,63994_68584,2,0,2/63994_68584/63994_68584_2_0.jpg,train,56
27227,66296,27227_66296,2,0,2/27227_66296/27227_66296_2_0.jpg,train,57
125576,141179,125576_141179,2,0,2/125576_141179/125576_141179_2_0.jpg,train,58
36513,42600,36513_42600,2,0,2/36513_42600/36513_42600_2_0.jpg,train,59
23795,28428,23795_28428,2,0,2/23795_28428/23795_28428_2_0.jpg,train,60
22286,26610,22286_26610,2,0,2/22286_26610/22286_26610_2_0.jpg,train,61
7301,9347,7301_9347,2,0,2/7301_9347/7301_9347_2_0.jpg,train,62
46263,50872,46263_50872,2,0,2/46263_50872/46263_50872_2_0.jpg,train,63
14044,16524,14044_16524,2,0,2/14044_16524/14044_16524_2_0.jpg,train,64
58866,63309,58866_63309,2,0,2/58866_63309/58866_63309_2_0.jpg,train,65
114022,123221,114022_123221,2,0,2/114022_123221/114022_123221_2_0.jpg,train,66
9885,11750,9885_11750,2,0,2/9885_11750/9885_11750_2_0.jpg,train,67
